datasetKey	title	total_species	worms_species	worms_percentage	total_occurrences
06df03fc-8973-490c-af74-089fffae9e24	Free-living marine Nematodes from San Julián bay (Santa Cruz, Argentine), 2009.	73	73	100	8381
12ccff8a-cfa8-46f8-a8b0-c6da39cb8910	CMarZ (Census of Marine Zooplankton)-Asia Database	141	140	99.29078014184397	2607
5d01caac-c0b4-4385-a494-d71067ce70c3	Institute of Marine Affairs Marine Reference Collection	278	278	100	538
4caa2abf-8e32-4c4d-9b61-1c9b470718ce	Marine Turtles	6	6	100	2394
85ad6c96-f762-11e1-a439-00145eb45e9a	AWI-Herbarium Marine Macroalgae	247	3	1.214574898785425	6372
37a1816f-d4fd-4d30-bf74-72ca5bf0eb90	Marine Species Records from Skomer Marine Conservation Zone (MCZ) Marine Monitoring Programme	967	889	91.93381592554292	12470
75f5d7fa-4f2b-4f97-8ca1-3a36f47a15bc	KiEco Marine Ecology: Marine Benthic Invertebrates	735	728	99.04761904761905	29829
520237b3-b0b3-47b5-90e1-af12098d6128	Marine Records from Pembrokeshire Marine Species Atlas	2087	1797	86.10445615716338	38490
686c1b9b-5f29-4e1f-8c28-f9779d264579	Porcupine Marine Natural History Society Dataset	2102	1822	86.67935299714557	28148
79e21918-887b-4b40-9305-abc5f57494dd	Biodiversity of Luiz Saldanha Marine Park	1539	1273	82.71604938271605	84311
8b1d38b0-a8bf-43b1-9ac9-d3198e694769	Global distribution of marine forests [herbaria records]	0	0	NA	0
dc9dc0fe-517f-460f-a649-eae2340ba108	Global distribution of marine forests [literature records]	0	0	NA	0
b0722e5f-119a-4f47-935f-b54f34d13f9b	Distribution of marine forests based on citizen science	306	45	14.705882352941178	1940
948c51dd-066e-4cdb-9554-d0ac54afb128	Avistamientos de Biodiversidad Marina  /  Marine Biodiversity Sightings	124	124	100	142
27c33480-3aab-46c5-8aa3-684800a52326	KiEco Marine Ecology: Marine Phytoplankton	0	0	NA	0
2a957243-2630-4f72-81e7-3c68f8f79e63	KiEco Marine Ecology: Marine Phytoplankton	115	57	49.56521739130435	15631
18b7c5c7-9814-4dc4-a8aa-833e91969358	Marine bottom organisms in prospective marine protected area Froan-Sularevet, Norway	45	43	95.55555555555556	21952
0f6311c5-19a4-482a-a0bf-cbfe217a355d	Irish Marine Turtle Records	5	5	100	1071
03428ad0-492b-495b-80ad-5b5376f238ba	Virginia Institute of Marine Science Invertebrate Collection	1287	1278	99.3006993006993	5167
60de59a4-c428-4d49-873d-b117bea1fcc9	Ulster Museum Marine Surveys	1314	1083	82.42009132420091	73742
0f6d26c0-c645-4f15-b1c9-fbcb77515545	University of Miami, Voss Marine Invertebrate Collections	5701	5622	98.61427819680758	31080
7aecd33c-f762-11e1-a439-00145eb45e9a	Marine Plants (NHMC-SA)	53	0	0	134
8f77a6c5-7ad6-4c73-847c-0e2119c2fa4f	KiEco Ecology: Marine Fish	106	106	100	9454
88719a30-6c9f-4a64-979e-f5436e93ec50	Cadre d'acquisition personnel de Parion Marine-Jeu de données personnel de Parion Marine	3	2	66.66666666666666	3
5917b056-7a54-4cd9-b73c-3e6c41079862	Cadre d'acquisition personnel de Zimmer Marine-Jeu de données personnel de Zimmer Marine	12	0	0	19
59407d0a-3dfc-4384-a767-b45bf177fdb9	Ulster University Marine Research Data	60	15	25	145
9fad752d-4bf9-4adf-9535-3cf6339a70fb	Department of Agriculture Environment and Rural Affairs (DAERA) Marine and Fisheries Division Marine Survey Data	2160	1771	81.99074074074075	237542
2a6e6cbf-3ac8-47b7-aba1-99a776fc5f18	SDNHM Marine Invertebrate Collection	13965	13754	98.4890798424633	73095
8105f15e-f762-11e1-a439-00145eb45e9a	Marine specimens of Misaki Marine Biological Station, Graduate School of Science, The University of Tokyo	565	557	98.58407079646018	776
492d70bb-fe52-4575-9b35-ce4282f41d7d	Marine Education Society of Australasia	34	34	100	56
289ccc30-41c1-477b-b398-897561bb077e	Marine Organisms of American Samoa	82	82	100	294
cfb98735-6065-42fa-8613-fce70d39cbbe	BioGIS - Marine snails - HUJ collections	422	419	99.28909952606635	1753
e2980e63-d152-4219-8c1e-0ffdef3ea6aa	Auckland Museum NZ Marine Collection	5529	5498	99.43931994935792	51885
00df33f6-0296-46df-b2fe-0355c1422ba4	Loughs Agency Marine Survey Data	28	27	96.42857142857143	4587
1cfb1900-5735-4f47-9f97-cb99a1aa7211	Marine Life Society of South Australia	121	121	100	309
82d23348-0fee-4e2d-9152-48136ef54b2d	Seasearch Marine Surveys in Wales	972	776	79.83539094650206	92894
990e845f-836b-4467-bc5f-46c8495259ec	Seasearch Marine Surveys in Scotland	1256	1074	85.50955414012739	149869
0b1150c9-dfa8-4904-8bc5-b79b4e1930e6	FBIP: SeaKeys_SANBI: Marine images iSpot_2013	1361	1332	97.86921381337253	12597
52422715-c1db-40a0-ba16-b84a295d248a	Seasearch Marine Surveys in England	1561	1230	78.79564381806534	330056
