key	title	publishingOrganizationKey	publishingOrganizationTitle	matched_keywords
966b5af2-f762-11e1-a439-00145eb45e9a	Collection Paläobotanik SMB	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
ab0b73e0-c064-11dd-a311-b8a03c50a862	Zoological Museum Amsterdam, University of Amsterdam (NL) - Diptera_Types	396d5f30-dea9-11db-8ab4-b8a03c50a862	Naturalis Biodiversity Center	
0cee5d00-6166-11de-84be-b8a03c50a862	Zoological Museum Amsterdam, University of Amsterdam (NL) - Invasive Insecta	396d5f30-dea9-11db-8ab4-b8a03c50a862	Naturalis Biodiversity Center	
8590c99c-f762-11e1-a439-00145eb45e9a	The Myxomycetes Collections at the Botanische Staatssammlung München - Collection of Martin Schnittler	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
e4c7e3cc-f4f9-49df-be45-e1732014b6b8	The Bergius Herbarium	4862c917-4b6d-4282-8153-40532e1e78ee	The Bergius Foundation at the Royal Swedish Academy of Sciences	
829bd402-f762-11e1-a439-00145eb45e9a	Collection Anatomie Histologie - SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
965f73a4-f762-11e1-a439-00145eb45e9a	Collection Aves (spirit preserved) SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
85bcaab2-f762-11e1-a439-00145eb45e9a	LISU Lichen collection	315127e0-d7bb-11db-9885-b8a03c50a862	Museu Nacional de História Natural e da Ciência	
8591ecaa-f762-11e1-a439-00145eb45e9a	The Myxomycetes Collections at the Botanische Staatssammlung München - Main Collection	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
96729998-f762-11e1-a439-00145eb45e9a	Collection Brachiopoda fossil SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
1ed365f0-6167-11de-84c0-b8a03c50a862	Zoological Museum Amsterdam, University of Amsterdam (NL) - Diptera_Tipulidae_NL	396d5f30-dea9-11db-8ab4-b8a03c50a862	Naturalis Biodiversity Center	
858c1c6c-f762-11e1-a439-00145eb45e9a	The Collection of Lichenicolous Fungi at the Botanische Staatssammlung München	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
1aecc602-8847-4980-b493-bb21bb4aace5	Paläontologie Marburg	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
74e8e097-3104-4ffa-9982-078e0cd5f9a2	ZFMK Heteroptera collection	6e1cad80-bdf5-11d8-84ea-b8a03c50a862	Leibniz Institute for the Analysis of Biodiversity Change (LIB)	
e406b10a-99f7-4ac5-8d19-ca3384373358	Conservatoire Botanique Pierre Fabre	02fce6f4-8dcd-4eaf-afe9-28ba30822751	Récolnat	
d31840e3-06ed-4ab7-bbed-783d0da5a869	Collection Paleoanthropology SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
827fc19a-f762-11e1-a439-00145eb45e9a	Collection Arachnida - SNSD	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
b7ef1d60-b0a0-11dd-aa14-b8a03c50a862	SBT-Living	ce8ff45e-2b62-4f49-839d-0f3dbcfd0a82	The Bergius Botanic Garden	
5e6ae014-b62f-11e2-afcb-00145eb45e9a	The Diatom Collection of Franz Josef Weinzierl at the Botanische Staatssammlung München	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
7b91859e-f762-11e1-a439-00145eb45e9a	The Fungal Collection at the Botanische Staatssammlung München	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
369a4612-fb43-41fc-9f73-1224391a21d5	LISU Herbario Angola	315127e0-d7bb-11db-9885-b8a03c50a862	Museu Nacional de História Natural e da Ciência	
5d6d5aa7-2df9-4a3d-9a96-5fc7a988ab5f	The Diptera collection (ED) of the Muséum national d'Histoire naturelle (MNHN - Paris)	2cd829bb-b713-433d-99cf-64bef11e5b3e	MNHN - Museum national d'Histoire naturelle	
8278e7bc-f762-11e1-a439-00145eb45e9a	The Fungal Collection of Helga Große-Brauckmann at the Botanische Staatssammlung München	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
966dbf18-f762-11e1-a439-00145eb45e9a	Collection Cnidaria fossil SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
858d51e0-f762-11e1-a439-00145eb45e9a	The Erysiphales Collection at the Botanische Staatssammlung München	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
aa0f6f15-0459-4c49-abe7-23b17d95bc6f	Collezione entomologica di curculionidi di Piero Abbazzi | Piero Abbazzi's entomological collection of weevils	ad16fb6c-dcad-4e19-b72a-3456759866b1	Università degli Studi di Firenze, Sistema Museale di Ateneo	
7f537a16-f762-11e1-a439-00145eb45e9a	Collection Hymenoptera SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
c4a654a1-24ef-4e39-83f8-77817a593c27	Tartu Botanical Garden Root and Leaf Endophytes	0870a77b-587c-4369-a8ed-bc3d347b8e1c	PlutoF	
8431711e-f762-11e1-a439-00145eb45e9a	Fungi collection of Jyväskylä University Museum	ff3a2000-b2ac-11db-b710-b8a03c50a862	Jyväskylä University Museum	
7eae7e08-1387-11e2-bb2e-00145eb45e9a	Mammalia fossil Kleinsäuger - SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
828467f4-f762-11e1-a439-00145eb45e9a	Collection Collembola - SMNG	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
a578b33b-72f6-4833-a3eb-45d61f79f091	Herbarium specimens, Harmas J.H. Fabre (FABR - Sérignan-du-Comtat) of the Muséum national d'Histoire naturelle (MNHN - Paris)	2cd829bb-b713-433d-99cf-64bef11e5b3e	MNHN - Museum national d'Histoire naturelle	
42da6224-6935-4b36-9d58-7728064f6fe8	Muséum d’histoire naturelle du Mans	02fce6f4-8dcd-4eaf-afe9-28ba30822751	Récolnat	
a5458d08-3a0c-11e2-b0ce-00145eb45e9a	Arachnologie - SMNG	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
f0f63002-020d-4bbc-9503-423eca3ab4a3	Collembola collection of Arne Fjellberg, Norway	f314b0b0-e3dc-11d9-8d81-b8a03c50a862	University of Oslo	
38555d51-da97-48fa-9f08-93d804fb7fab	Collezione di ditteri di Camillo Rondani del Museo di Storia naturale di Firenze | Camillo Rondani's dipterans collection of the Natural History Museum of Florence	ad16fb6c-dcad-4e19-b72a-3456759866b1	Università degli Studi di Firenze, Sistema Museale di Ateneo	
470926d2-73c2-4648-9320-d90695263b06	Mediterranean Germplams Genebank - Miscellaneous species (ITA436-MGG-Miscellaneous)	6563e0ba-fab7-431c-b897-b6bf364f4f1e	Consiglio Nazionale delle Ricerche, Istituti del Dipartimento di Scienze Bio-AgroAlimentari (CNR-DiSBA)	
5c590b76-5874-4bc1-95f3-07d0f0c8b55c	Kastikka Small Collections	e5585950-488e-11db-a1c2-b8a03c50a862	Finnish Museum of Natural History -  Botany and Mycology Unit	
7ba21c92-f762-11e1-a439-00145eb45e9a	The Lichens Collection at the Botanische Staatssammlung München	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
7b7bb606-f762-11e1-a439-00145eb45e9a	Collection Crustacea - ZIM Hamburg	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
aec988c9-b308-4758-9eb0-1ecf93749998	Muséum d'histoire naturelle de Nîmes	02fce6f4-8dcd-4eaf-afe9-28ba30822751	Récolnat	
8293a994-f762-11e1-a439-00145eb45e9a	Röntgenarchiv Wilhelm Stürmer - SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
