key	title	publishingOrganizationKey	publishingOrganizationTitle	matched_keywords	total_species	worms_species	worms_percentage	total_occurrences
06df03fc-8973-490c-af74-089fffae9e24	Free-living marine Nematodes from San Julián bay (Santa Cruz, Argentine), 2009.	b62390e0-0e35-11d9-8431-b8a03c50a862	CCT CONICET-CENPAT Centro Científico Tecnológico	marine	73	73	100	8381
12ccff8a-cfa8-46f8-a8b0-c6da39cb8910	CMarZ (Census of Marine Zooplankton)-Asia Database	4fd82480-ea1c-11da-8db4-b8a03c50a862	National Museum of Nature and Science, Japan	marine, zooplankton, plankton	141	140	99.29078014184395	2607
5d01caac-c0b4-4385-a494-d71067ce70c3	Institute of Marine Affairs Marine Reference Collection	215671db-9a23-4cb0-9d3b-060dc7d7c65d	Institute of Marine Affairs	marine	278	278	100	538
4caa2abf-8e32-4c4d-9b61-1c9b470718ce	Marine Turtles	f3bdbee7-8978-4bfc-bd3b-20650fee8fac	Marine Environmental Monitoring	marine, turtle	6	6	100	2394
37a1816f-d4fd-4d30-bf74-72ca5bf0eb90	Marine Species Records from Skomer Marine Conservation Zone (MCZ) Marine Monitoring Programme	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	Natural Resources Wales	marine	967	889	91.93381592554292	12470
520237b3-b0b3-47b5-90e1-af12098d6128	Marine Records from Pembrokeshire Marine Species Atlas	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	Natural Resources Wales	marine	2087	1797	86.10445615716338	38490
75f5d7fa-4f2b-4f97-8ca1-3a36f47a15bc	KiEco Marine Ecology: Marine Benthic Invertebrates	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	Natural Resources Wales	marine, benthic, invertebrate, invertebrates	735	728	99.04761904761904	29829
686c1b9b-5f29-4e1f-8c28-f9779d264579	Porcupine Marine Natural History Society Dataset	f0a23325-1a1d-4b4c-a192-63765963d0a4	Porcupine Marine Natural History Society	marine	2102	1822	86.67935299714557	28148
79e21918-887b-4b40-9305-abc5f57494dd	Biodiversity of Luiz Saldanha Marine Park	54a7048f-6d1f-468e-bd38-a585e05ca24d	Centre of Marine Sciences	marine	1539	1273	82.71604938271605	84311
948c51dd-066e-4cdb-9554-d0ac54afb128	Avistamientos de Biodiversidad Marina  /  Marine Biodiversity Sightings	d54819fb-3423-49b9-bac4-5ac1624f9070	SEAK S.A.S	marine	124	124	100	142
18b7c5c7-9814-4dc4-a8aa-833e91969358	Marine bottom organisms in prospective marine protected area Froan-Sularevet, Norway	620e3d31-d433-4154-9cf6-232a6a6b5e3f	Akvaplan-niva	marine, bottom	45	43	95.55555555555556	21952
0f6311c5-19a4-482a-a0bf-cbfe217a355d	Irish Marine Turtle Records	d2b97690-bfd6-11de-b279-d52977ace833	National Biodiversity Data Centre	marine, turtle	5	5	100	1071
03428ad0-492b-495b-80ad-5b5376f238ba	Virginia Institute of Marine Science Invertebrate Collection	8862ef90-cb69-498c-b8ea-c15f8f7cdd07	Virginia Institute of Marine Science	marine, invertebrate	1287	1278	99.3006993006993	5167
60de59a4-c428-4d49-873d-b117bea1fcc9	Ulster Museum Marine Surveys	db20bedc-20f1-42dd-9051-a445139f8e51	Centre for Environmental Data and Recording	marine	1314	1083	82.42009132420091	73742
0f6d26c0-c645-4f15-b1c9-fbcb77515545	University of Miami, Voss Marine Invertebrate Collections	5624d6f9-a94b-42c4-8814-a587e7e5e6f0	Rosenstiel School, University of Miami Voss Marine Invertebrate Collection	marine, invertebrate	5701	5622	98.61427819680758	31080
8f77a6c5-7ad6-4c73-847c-0e2119c2fa4f	KiEco Ecology: Marine Fish	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	Natural Resources Wales	marine, fish	106	106	100	9454
9fad752d-4bf9-4adf-9535-3cf6339a70fb	Department of Agriculture Environment and Rural Affairs (DAERA) Marine and Fisheries Division Marine Survey Data	db20bedc-20f1-42dd-9051-a445139f8e51	Centre for Environmental Data and Recording	marine, fish, fisheries	2160	1771	81.99074074074075	237542
2a6e6cbf-3ac8-47b7-aba1-99a776fc5f18	SDNHM Marine Invertebrate Collection	8a471700-4ce8-11db-b80e-b8a03c50a862	San Diego Natural History Museum	marine, invertebrate	13965	13754	98.4890798424633	73095
8105f15e-f762-11e1-a439-00145eb45e9a	Marine specimens of Misaki Marine Biological Station, Graduate School of Science, The University of Tokyo	4fd82480-ea1c-11da-8db4-b8a03c50a862	National Museum of Nature and Science, Japan	marine	565	557	98.58407079646018	776
492d70bb-fe52-4575-9b35-ce4282f41d7d	Marine Education Society of Australasia	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	Atlas of Living Australia	marine	34	34	100	56
289ccc30-41c1-477b-b398-897561bb077e	Marine Organisms of American Samoa	90cc71b0-055b-11d8-b84e-b8a03c50a862	Bernice Pauahi Bishop Museum	marine	82	82	100	294
cfb98735-6065-42fa-8613-fce70d39cbbe	BioGIS - Marine snails - HUJ collections	cb633566-ed21-4684-bcce-df84d0eb4c8a	The National Natural History Collections	marine	422	419	99.28909952606637	1753
e2980e63-d152-4219-8c1e-0ffdef3ea6aa	Auckland Museum NZ Marine Collection	32e82a64-c9b4-4b2f-9fbd-d446309b973f	Auckland War Memorial Museum	marine	5529	5498	99.43931994935792	51885
1cfb1900-5735-4f47-9f97-cb99a1aa7211	Marine Life Society of South Australia	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	Atlas of Living Australia	marine	121	121	100	309
00df33f6-0296-46df-b2fe-0355c1422ba4	Loughs Agency Marine Survey Data	db20bedc-20f1-42dd-9051-a445139f8e51	Centre for Environmental Data and Recording	marine	28	27	96.42857142857144	4587
82d23348-0fee-4e2d-9152-48136ef54b2d	Seasearch Marine Surveys in Wales	5d662340-07fa-41b7-a3fc-e2e63ca50800	Seasearch	marine, seas	972	776	79.83539094650206	92894
990e845f-836b-4467-bc5f-46c8495259ec	Seasearch Marine Surveys in Scotland	5d662340-07fa-41b7-a3fc-e2e63ca50800	Seasearch	marine, seas	1256	1074	85.50955414012739	149869
0b1150c9-dfa8-4904-8bc5-b79b4e1930e6	FBIP: SeaKeys_SANBI: Marine images iSpot_2013	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	South African National Biodiversity Institute	marine	1361	1332	97.86921381337253	12597
8fb455fb-2eac-45f1-bfcb-fb0a5264ea79	Regionally Integrated Marine Database (RINKAI), managed by JAMBIO, an association of Japanese university-based marine stations	4fd82480-ea1c-11da-8db4-b8a03c50a862	National Museum of Nature and Science, Japan	marine	269	205	76.2081784386617	313
52422715-c1db-40a0-ba16-b84a295d248a	Seasearch Marine Surveys in England	5d662340-07fa-41b7-a3fc-e2e63ca50800	Seasearch	marine, seas	1561	1230	78.79564381806534	330056
139a966c-22d5-486b-bff2-cfcbccd6fdfc	Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by JNCC	bb108780-00da-49a7-ba12-40a25192a626	Joint Nature Conservation Committee	marine, benthic	2885	2410	83.53552859618716	476103
0e988b71-2cc1-4cd3-a026-ef14c056b05c	Coastal and Marine Species Database	d2b97690-bfd6-11de-b279-d52977ace833	National Biodiversity Data Centre	marine, coast, coastal	167	146	87.42514970059881	401
928304f1-d313-47cd-b17b-0232bc27b727	Seasearch Marine Surveys in Ireland	5d662340-07fa-41b7-a3fc-e2e63ca50800	Seasearch	marine, seas	966	806	83.436853002070393	58966
11ddb6e5-7bc8-4478-9e80-5c85c1a08ae2	Consultancy Contract Surveys - Marine Species Records	db20bedc-20f1-42dd-9051-a445139f8e51	Centre for Environmental Data and Recording	marine	643	588	91.44634525660965	10333
71bc8e1a-0dbd-4a5f-8b3c-ef278252f6bb	Porcupine Marine Natural History Society Records	d2b97690-bfd6-11de-b279-d52977ace833	National Biodiversity Data Centre	marine	543	417	76.79558011049724	3677
379156c8-c268-4537-aea4-83d94cc785f5	IZIKO: Marine Invertebrate Collection (1900-2011)	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	South African National Biodiversity Institute	marine, invertebrate	2154	2129	98.8393686165274	8015
4ad368c4-b33a-41d8-a8ce-e0ba4d9e5863	Species distribution of Marine Invasive species Perna viridis in Trinidad and Tobago	215671db-9a23-4cb0-9d3b-060dc7d7c65d	Institute of Marine Affairs	marine	21	21	100	21
3c1a56f8-b63a-492f-bb77-babb497204fb	Marine Biological Sample Database, JAMSTEC	4fd82480-ea1c-11da-8db4-b8a03c50a862	National Museum of Nature and Science, Japan	marine	766	760	99.2167101827676	10401
50743314-a455-4f64-b5d5-8a4e816aeec6	Bishop Museum Marine Invertebrates Occurrence Data	90cc71b0-055b-11d8-b84e-b8a03c50a862	Bernice Pauahi Bishop Museum	marine, invertebrate, invertebrates	3823	3763	98.4305519225739	30557
44c5565c-b772-404e-9231-fc78d77dfbb4	SWG Coastal and marine invertebrate observations	16afe573-48e9-4c9e-836c-69e8489885fc	Strandwerkgemeenschap	marine, coast, coastal, invertebrate	2054	1674	81.49951314508277	95654
f47f6839-9203-44ee-87f6-7ad047d8430d	Northern Ireland Environmental Recorders - Marine Species Records	db20bedc-20f1-42dd-9051-a445139f8e51	Centre for Environmental Data and Recording	marine, northern	298	242	81.20805369127517	2292
e142db13-5b0e-4f15-b652-6e72537b4337	Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by English Nature	598eb93d-a844-4289-8adb-0f8583dac91e	Natural England	marine, benthic	1005	873	86.86567164179104	11366
a2a36824-70bb-431a-a5a4-1f848e5cc9b3	Agri-Food and Biosciences Institute Marine Surveys	db20bedc-20f1-42dd-9051-a445139f8e51	Centre for Environmental Data and Recording	marine	1044	1024	98.08429118773944	84777
1260320d-5eb6-475b-bf4a-a60cf3f9e3e1	Amphipod species in European marine waters	614585a7-50d9-4028-832a-2f86a55aed99	University of Palermo	marine, water	1228	1222	99.5114006514658	18508
f3f169bb-3cd8-4a67-b347-f0776c53f3e5	Coastwatch Marine Species Records from Northern Ireland	db20bedc-20f1-42dd-9051-a445139f8e51	Centre for Environmental Data and Recording	marine, coast, northern	70	69	98.57142857142858	684
ca62d9a7-e2b0-4755-b7a0-f7406a4f80ac	Abilene Christian University Marine invertebrate Specimens (Arctos)	3c72e884-20cb-4cc3-bd9f-9f6cda7bb980	Abilene Christian University Natural History Collection	marine, invertebrate	916	911	99.45414847161572	1252
ead6339f-39f8-46be-b059-d1c48d88ab29	Marine invertebrate collection NTNU University Museum	a8144f37-5ff7-4137-9400-94b5b2ea4ec4	Norwegian University of Science and Technology	marine, invertebrate	3271	3236	98.92999082849282	84466
945e072e-cd1e-4914-9174-72fedd69fedc	JDD observateurs -Observations opportunistes de Legrand Marine	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	marine	1	1	100	1
2326eba5-a469-4887-94a0-d2762fa86177	Natal Museum Dredging Programme marine mollusc data	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	South African National Biodiversity Institute	marine	1629	1622	99.57028852056476	17381
41ee2f9b-33b2-4d72-9f91-42cc5a3a24dd	NE Scotland marine mammal records 1800-2010	f13cb487-bf52-456f-a319-edc21642462c	North East Scotland Biological Records Centre	marine	12	12	100	817
6902fa28-46d9-44f7-a510-1f1f83e99c7c	National Museums Scotland marine strandings Z.2014.21	7fd3bb3f-217b-467e-a1de-d15a04d0b874	National Museums Scotland	marine	19	19	100	103
ac23b599-b642-4ed6-9724-5f8bde4d9356	Projet d'énergie renouvelable-[SUIVI] 2020-2021 mégafaune marine	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	marine	63	63	100	7507
76451f4a-7bdf-4547-8978-50760e6a1e98	Projet d'énergie renouvelable-[SUIVI] 2021-2022 mégafaune marine	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	marine	38	38	100	9742
c4a764e4-8455-425b-b553-253f9f9dfbac	Yorkshire Naturalists Union Marine and Coastal Section Records	f3d462e2-4113-49cd-974d-f7d59d169801	Yorkshire Naturalists' Union	marine, coast, coastal	317	239	75.39432176656152	2097
84cb653a-f762-11e1-a439-00145eb45e9a	Marine Benthic Fauna List, Island of Læsø, Denmark	1649bf8c-d7e0-482a-9f1a-8292cd418c62	Department of Biology, University of Copenhagen	marine, island, benthic	502	501	99.800796812749	506
5a9c8ebb-4e06-4693-be95-dbf5eeafe8d7	Ichthyological collection of Marine Science Museum, Tokai University	4fd82480-ea1c-11da-8db4-b8a03c50a862	National Museum of Nature and Science, Japan	marine	1055	1052	99.71563981042654	6516
56687a3d-b48f-44e5-b2b8-d55bafff2f33	Galiano Island BC Canada Marine Zoology 1893–2021	750a8724-fa66-4c27-b645-bd58ac5ee010	Biodiversity Data Journal	marine, island	617	616	99.83792544570504	18846
a899709f-9a73-4cac-84d8-a7dcc7b70280	Seasearch Marine Surveys in the Channel Islands	5d662340-07fa-41b7-a3fc-e2e63ca50800	Seasearch	marine, island, islands, seas	709	519	73.20169252468264	24850
26ae0930-98a1-11de-b4da-b8a03c50a862	National Museum of Marine Biology and Aquarium	7050ce20-c75e-11dd-87ef-b8a03c50a862	TELDAP	marine	997	995	99.79939819458376	1002
8dd916d3-848b-4fae-9e69-ba0d01ff0396	CBES marine mammals encounters through citizen science apps (2022)	457fbdb9-ef71-4d0f-b5c7-e67b01372cd9	Center for Biodiversity conservation and Endangered Species (CBES)	marine	9	8	88.88888888888889	23
328eee7e-4ba7-48ed-b10c-819522541a53	Mapping of vulnerable marine species and habitats, Norway	56d7759a-a2cd-4585-a5f3-7fbbca931eaf	Aqua Kompetanse	marine, habitat	11	11	100	489
16b0aa56-90aa-436c-bfe8-b5af83f84575	Biodiversity Research and Teaching Collections - TCWC Marine Invertebrates	2b8e48b0-812d-11de-86fe-b8a03c50a862	Texas A&M University Biodiversity Research and Teaching Collections	marine, invertebrate, invertebrates	2684	2648	98.65871833084948	17148
a71b06c8-c62d-46ed-8daa-f10b0aeca0da	Marine Offshore Seabed Survey data held by JNCC	bb108780-00da-49a7-ba12-40a25192a626	Joint Nature Conservation Committee	marine, offshore	1472	1455	98.84510869565216	59948
586fa366-648c-48d3-a590-88a3ce00dfa0	Biodiversité marine de l’île de La Réunion. Programme BIOLAVE	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	marine	508	506	99.60629921259844	2838
