key	title	publishingOrganizationKey	publishingOrganizationTitle	matched_keywords	total_species	worms_species	worms_percentage	total_occurrences
b33e446b-41c9-46a7-971c-3046e06fc241	Selected Scottish freshwater fish records from 2008-2011 (collected by SEPA)	0c167c76-464a-406e-8d0b-c6dd8314da18	Scottish Environment Protection Agency	fish	4	4	100	143
ecef807e-4eab-4bed-8081-4f7429f48e8d	Mesures compensatoires du site Jallère et ses abords-Suivi Passereaux nicheurs	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	19	15	78.94736842105263	27
f99e13c4-7b2e-435b-9f6d-fef9e014a0f2	Caithness and Sutherland Peatlands SPA wader surveys 2023 final report data	98ba8467-5081-4d15-b168-32d893e18b76	NatureScot	NA	47	47	100	1872
c0fd9f28-9f1c-436d-9f36-dbafb9f4a276	Mesures compensatoires du site Jallère et ses abords-Pollutions, Mortalité Faune aquatique	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	5	5	100	5
d881b95c-dd14-4555-86db-d91ff5283c59	Monitoreo y uso del hábitat de aves neárticas y neotropicales asociados a ambientes acuáticos litorales en el municipio de Tomatlán, Jalisco, México	ff90b050-c256-11db-b71b-b8a03c50a862	Comisión nacional para el conocimiento y uso de la biodiversidad	NA	94	92	97.87234042553192	716
a451e2eb-f70f-49c4-b1ca-fe78e65bacbe	Calf of Man (Isle of Man) Bird Observatory Daily Logs, 1959-2004	d7daeaec-a572-406f-ac6f-d7798ce2a4c3	Manx National Heritage	NA	268	239	89.17910447761194	429241
f8f4c490-8ab3-4e27-b871-944fb807bc1b	White-tailed eagle reintroduction in Scotland, 1975 onwards - Sightings data	c71f0513-c95a-4e98-abad-0c222b87ec66	Royal Society for the Protection of Birds	NA	1	1	100	9396
b7dd8170-98a0-11de-b4d9-b8a03c50a862	The Fish Database of Taiwan	7050ce20-c75e-11dd-87ef-b8a03c50a862	TELDAP	fish	2848	2844	99.85955056179776	22224
7221810e-52b1-459d-a6a4-02160c67feef	Øvre Heimdalsvatn, Radiocaesium (Cs-137) monitored annually in brown trout (Salmo trutta)	f314b0b0-e3dc-11d9-8d81-b8a03c50a862	University of Oslo	NA	1	1	100	456
5000c6ca-d69a-4cc7-a4d2-1747803ce7e1	Estudio taxonómico y zoogeográfico de áreas selectas de peces marinos en Laguna Madre y Costas de Tamaulipas, Veracruz y Campeche, México	ff90b050-c256-11db-b71b-b8a03c50a862	Comisión nacional para el conocimiento y uso de la biodiversidad	NA	286	285	99.65034965034964	3286
983045c8-7ae9-4271-bd1e-439ff4ac9e61	[SUIVI] 2021 - Exploitation de la carrière de la société BABOUILLARD Michel SARL - Oiseaux - ENCEM - Coulmier-le-sec - 2021	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	sea	21	15	71.42857142857143	38
